Keywords,Type,Origin
Burger,Mains,American
Grilled Cheese,Mains,American
Hot dog,Mains,American
Mac and Cheese,Mains,American
Cheesecake,Desserts/Drinks,American
Chow Mein,Soup/Noodles,Chinese
Dimsum,Sides/Snacks,Chinese
Vermicelli roll,Sides/Snacks,Chinese
Wonton,Sides/Snacks,Chinese
Kung Pao Chicken,Mains,Chinese
Mapo Tofu,Mains,Chinese
Peking Duck,Mains,Chinese
Sichuan Chicken,Mains,Chinese
Sichuan Pork,Mains,Chinese
Fried Rice,Mains,Chinese
Lo Mein,Soup/Noodles,Chinese
Bouillabaisse,Soup/Noodles,French
Pot-au-feu,Soup/Noodles,French
Quiche,Sides/Snacks,French
Beef bourguignon,Mains,French
Cottage Pie,Mains,French
Escargot,Mains,French
Foie Gras,Mains,French
Ratatouille,Mains,French
Crepes,Desserts/Drinks,French
Souffle,Desserts/Drinks,French
Masala Dosa,Sides/Snacks,Indian
Naan,Sides/Snacks,Indian
Samosa,Sides/Snacks,Indian
Aloo gobi,Mains,Indian
Biryani,Mains,Indian
Chicken Tikka Masala,Mains,Indian
Indian Curry,Mains,Indian
Tandoori,Mains,Indian
Mango Lassi,Desserts/Drinks,Indian
Masala Chai,Desserts/Drinks,Indian
Soto,Soup/Noodles,Indonesian
Pempek,Sides/Snacks,Indonesian
Gado-gado,Mains,Indonesian
Chicken Satay,Mains,Indonesian
Nasi Goreng,Mains,Indonesian
Nasi Padang,Mains,Indonesian
Rendang,Mains,Indonesian
Martabak,Desserts/Drinks,Indonesian
Minestrone,Soup/Noodles,Italian
Bruschetta,Sides/Snacks,Italian
Calzone,Sides/Snacks,Italian
Caprese Salad,Sides/Snacks,Italian
Fettuccine Alfredo,Mains,Italian
Lasagna,Mains,Italian
Macaroni,Mains,Italian
Pasta Carbonara,Mains,Italian
Pizza,Mains,Italian
Ravioli,Mains,Italian
Risotto,Mains,Italian
Spaghetti,Mains,Italian
Gelato,Desserts/Drinks,Italian
Tiramisu,Desserts/Drinks,Italian
Miso soup,Soup/Noodles,Japanese
Ramen,Soup/Noodles,Japanese
Soba,Soup/Noodles,Japanese
Udon,Soup/Noodles,Japanese
Edamame,Sides/Snacks,Japanese
Takoyaki,Sides/Snacks,Japanese
Tempura,Sides/Snacks,Japanese
Yakitori,Sides/Snacks,Japanese
Donburi,Mains,Japanese
Okonomiyaki,Mains,Japanese
Omurice,Mains,Japanese
Sashimi,Mains,Japanese
Sushi,Mains,Japanese
Dorayaki,Desserts/Drinks,Japanese
Jjajangmyeon,Soup/Noodles,Korean
Kimchi,Sides/Snacks,Korean
Oden,Sides/Snacks,Korean
Tteokbokki,Sides/Snacks,Korean
Bibimbab,Mains,Korean
Bulgogi,Mains,Korean
Galbi,Mains,Korean
Gimbap,Mains,Korean
Samgyetang,Mains,Korean
Bingsu,Desserts/Drinks,Korean
Soju,Desserts/Drinks,Korean
Guacamole,Sides/Snacks,Mexican
Nacos,Sides/Snacks,Mexican
Chilli con carne,Mains,Mexican
Enchiladas,Mains,Mexican
Quesadillas,Mains,Mexican
Tacos,Mains,Mexican
Churros,Desserts/Drinks,Mexican
Croquetas,Sides/Snacks,Spanish
Patatas Bravas,Sides/Snacks,Spanish
Jamon,Mains,Spanish
Paella,Mains,Spanish
Leche Frita,Desserts/Drinks,Spanish
Pad Thai,Soup/Noodles,Thai
Tom Yum,Soup/Noodles,Thai
Khao Pad,Mains,Thai
Thai Curry,Mains,Thai
Mango Sticky Rice,Desserts/Drinks,Thai